Population,Hour,SimulationValue,CellValue,RsquareValue,PctContribution
NaiveTCT,96,10009.1260880348,313754.115109177,920.928521602391,0.124154439841824
NaiveTCT,96,10009.1260880348,81096.5719024953,50.4421396318701,0.0068003275428164
NaiveTCT,96,10009.1260880348,82176.5065432886,51.986378267691,0.00700851317103306
NaiveTCT,168,46409.4348707239,202191.030106987,11.2672967737657,0.00151899402251594
NaiveTCT,168,46409.4348707239,281400.238757488,25.6382969791717,0.00345641200731722
NaiveTCT,168,46409.4348707239,258890.160593434,20.9617010044567,0.00282593945707303
NaiveTCT,168,46409.4348707239,287909.680494409,27.0783746991798,0.00365055524260893
NaiveTCT,216,100356.453229834,174196.979212856,0.541375944998475,7.2985281287817e-05
NaiveTCT,216,100356.453229834,214991.888081408,1.3048096413728,0.000175907148410367
NaiveTCT,216,100356.453229834,351594.483150285,6.26729518405103,0.000844921733497105
NaiveTCT,216,100356.453229834,231859.731174484,1.71704844510845,0.000231482881551751
NaiveTCT,288,217744.564941659,460298.761284545,1.24086043762405,0.00016728587392107
NaiveTCT,288,217744.564941659,294069.092545624,0.122866532791745,1.6564179734084e-05
NaiveTCT,288,217744.564941659,2841584.69418621,145.204505719038,0.0195756604852331
NaiveTCT,336,323237.814358665,609249.493941727,0.78293050323638,0.000105550317732865
NaiveTCT,336,323237.814358665,134186.915105858,0.342068569872538,4.61157741168917e-05
NaiveTCT,336,323237.814358665,218982.636996656,0.104028165481507,1.40244962667205e-05
NaiveTCT,336,323237.814358665,3404909.06473208,90.8925505588228,0.0122536260260354
NaiveTCT,336,323237.814358665,1594599.22417303,15.4701215810827,0.00208559539001171
NaiveTCT,432,588379.611362973,2123942.37761748,6.81114170463943,0.000918240083987644
NaiveTCT,432,588379.611362973,978631.991492665,0.439922212459164,5.93078556920022e-05
NaiveTCT,432,588379.611362973,3079733.87373214,17.928986665348,0.00241708584776449
NaiveTCT,432,588379.611362973,2131917.05179819,6.88207032966263,0.000927802285072679
NaiveTCT,432,588379.611362973,752083.463967796,0.0774109808498204,1.0436116093237e-05
ActTCT,96,53198.4335149563,10573.0661076692,0.642005254190494,8.65515627324033e-05
ActTCT,96,53198.4335149563,2732.83878852734,0.899897619434233,0.000121319171070354
ActTCT,96,53198.4335149563,2769.23104539096,0.898600200975547,0.000121144260359913
ActTCT,168,260979.859766778,19509.660799797,0.856077520259255,0.000115411590037445
ActTCT,168,260979.859766778,27152.6546169506,0.802742193056272,0.000108221219104916
ActTCT,168,260979.859766778,24980.6295309454,0.817724831495948,0.000110241094740426
ActTCT,168,260979.859766778,27780.7586441973,0.798435351102231,0.000107640594726641
ActTCT,216,604021.927182862,10607.7939813473,0.965184551048315,0.000130120790559165
ActTCT,216,604021.927182862,13092.0161000136,0.957120321240884,0.000129033616135731
ActTCT,216,604021.927182862,21410.4851822898,0.930363384289656,0.000125426395335052
ActTCT,216,604021.927182862,14119.1900800078,0.953795816532367,0.000128585424978485
ActTCT,288,1371848.83532083,484194.439258279,0.418673331931832,5.64432002955698e-05
ActTCT,288,1371848.83532083,309335.221695935,0.599869096135629,8.08710012363972e-05
ActTCT,288,1371848.83532083,2989101.04334577,1.38977017630145,0.000187361053219802
ActTCT,336,1936268.70099898,881694.695490673,0.296635328773536,3.99907182992802e-05
ActTCT,336,1936268.70099898,194192.84288221,0.809473944100129,0.000109128756183419
ActTCT,336,1936268.70099898,316907.65665696,0.699449114268053,9.4295823120682e-05
ActTCT,336,1936268.70099898,4927521.96079711,2.3865751770024,0.000321744736199043
ActTCT,336,1936268.70099898,2307674.75618352,0.0367931278236432,4.96024400137463e-06
ActTCT,432,2785084.87273249,3669417.74681081,0.100821851972337,1.3592238986866e-05
ActTCT,432,2785084.87273249,1690728.35262517,0.154397687258122,2.08150338758663e-05
ActTCT,432,2785084.87273249,5320685.83913454,0.828867189289246,0.000111743245187387
ActTCT,432,2785084.87273249,3683195.15022443,0.103987817587838,1.40190567890414e-05
ActTCT,432,2785084.87273249,1299332.99455235,0.284587425621034,3.83664872845161e-05
TregCT,96,745.465805676172,3893.0587007696,17.8279602919245,0.00240346603633785
TregCT,96,745.465805676172,914.5376683104,0.0514383725917573,6.934634106448e-06
TregCT,96,745.465805676172,1168.8575518541,0.32257397077454,4.34876211449959e-05
TregCT,168,3566.25606678695,9096.9256353981,2.40508471054404,0.00032424008813428
TregCT,168,3566.25606678695,5294.562986526,0.234864128410649,3.16630700621866e-05
TregCT,168,3566.25606678695,3163.6014443071,0.0127479494119454,1.71860734166222e-06
TregCT,168,3566.25606678695,3899.3777458511,0.00872530760679371,1.17629724018558e-06
TregCT,216,9175.43399559414,2681.965282313,0.500841461146265,6.75206485623671e-05
TregCT,216,9175.43399559414,3252.6846454443,0.416671193545878,5.61732831804376e-05
TregCT,216,9175.43399559414,6174.280873608,0.106985045928306,1.44231263742046e-05
TregCT,216,9175.43399559414,4976.9598444731,0.209377368185375,2.82270873936881e-05
TregCT,288,28454.9476686997,78496.7539325135,3.09278956891153,0.000416952616266817
TregCT,288,28454.9476686997,22785.3843144723,0.0396993725558843,5.35204768462556e-06
TregCT,288,28454.9476686997,430140.513193451,199.276858896946,0.0268653931433677
TregCT,336,51891.1486440736,160449.291909116,4.37661399800465,0.000590030655561296
TregCT,336,51891.1486440736,24865.421026544,0.271249047818829,3.65682816848568e-05
TregCT,336,51891.1486440736,35653.9913116317,0.0979114380821202,1.31998732410217e-05
TregCT,336,51891.1486440736,446528.21736294,57.8374563647073,0.00779732284145335
TregCT,336,51891.1486440736,332135.293473713,29.1666484344456,0.00393208464446434
TregCT,432,137036.914005428,158041.780479337,0.0234944190281677,3.16738635564883e-06
TregCT,432,137036.914005428,201884.395773617,0.223929387114505,3.01889093118215e-05
TregCT,432,137036.914005428,1027553.52141681,42.2288161229587,0.00569305313924563
TregCT,432,137036.914005428,361119.596244343,2.67387714170422,0.000360477182481568
TregCT,432,137036.914005428,94355.2450257827,0.097008021372086,1.3078079645811e-05
ThyNaive,96,9264.40141043973,233159.13622206,584.05404127739,0.0787389038684322
ThyNaive,96,9264.40141043973,65681.2016139361,37.0836243550416,0.00499940712129733
ThyNaive,96,9264.40141043973,41304.5072362319,11.9606052110805,0.00161246199386583
ThyNaive,168,42891.1018661937,159545.426108877,7.3971985824773,0.0009972489990952
ThyNaive,168,42891.1018661937,214806.703378153,16.0655713620291,0.00216587060385642
ThyNaive,168,42891.1018661937,208175.647118139,14.8501242644056,0.00200201081449921
ThyNaive,168,42891.1018661937,228693.197404672,18.7657881379941,0.00252989874872061
ThyNaive,216,92525.1421715073,119443.881111761,0.0846427761621389,1.14110663472365e-05
ThyNaive,216,92525.1421715073,160296.372805843,0.536501847256029,7.23281826523064e-05
ThyNaive,216,92525.1421715073,247133.935623469,2.79221502563107,0.000376430835068461
ThyNaive,216,92525.1421715073,159532.045551459,0.524468699123036,7.07059408268648e-05
ThyNaive,288,199582.846483552,355237.063497846,0.608240532522522,8.19995915351077e-05
ThyNaive,288,199582.846483552,147441.583986088,0.0682522009006702,9.20138053282372e-06
ThyNaive,288,199582.846483552,2193002.21366254,99.7587324032668,0.01344891514415
ThyNaive,336,294502.220377248,489902.387047052,0.440222983420792,5.93484039532252e-05
ThyNaive,336,294502.220377248,94087.1981985141,0.463109185750158,6.2433793930468e-05
ThyNaive,336,294502.220377248,177356.975678601,0.158223934891411,2.13308672119656e-05
ThyNaive,336,294502.220377248,1711414.81937849,23.1477603304784,0.00312065176613581
ThyNaive,336,294502.220377248,1594599.22417303,19.4883184623237,0.00262730625167186
ThyNaive,432,525624.951259219,2123942.37761748,9.24643079213288,0.001246552157529
ThyNaive,432,525624.951259219,978631.991492665,0.742776161657898,0.000100136933665642
ThyNaive,432,525624.951259219,2311389.89185991,11.5424137748833,0.00155608376006179
ThyNaive,432,525624.951259219,1589541.69655357,4.09697527595746,0.000552331324853803
ThyNaive,432,525624.951259219,545827.48546318,0.00147726958270681,1.99157234501981e-07
ActivatedNaive,96,47763.6236297809,8382.11422736064,0.679814119113301,9.16487427365351e-05
ActivatedNaive,96,47763.6236297809,1932.30676525681,0.920725426918201,0.000124127059750798
ActivatedNaive,96,47763.6236297809,2442.8717552848,0.900325762364524,0.000121376890909012
ActivatedNaive,168,232653.812919723,18219.8100424405,0.849506989424253,0.000114525787767076
ActivatedNaive,168,232653.812919723,27151.6546169506,0.780211641120767,0.000105183775927445
ActivatedNaive,168,232653.812919723,24307.7894446545,0.801955153756918,0.000108115114862239
ActivatedNaive,168,232653.812919723,27779.7586441973,0.775449597075324,0.000104541783745538
ActivatedNaive,216,533769.998072685,8434.51140880249,0.96864615347779,0.000130587464465451
ActivatedNaive,216,533769.998072685,10429.7503336309,0.961302235652477,0.000129597398480461
ActivatedNaive,216,533769.998072685,21409.4851822898,0.921388917986625,0.000124216507911005
ActivatedNaive,216,533769.998072685,14118.1900800078,0.947799698689576,0.000127777061859595
ActivatedNaive,288,1192887.4592213,195609.385897215,0.698929860434121,9.42258202188549e-05
ActivatedNaive,288,1192887.4592213,309334.221695935,0.548613511447346,7.39610095742144e-05
ActivatedNaive,288,1192887.4592213,2186229.05858469,0.693423093081922,9.34834286000549e-05
ActivatedNaive,336,1672566.85382779,624766.691281125,0.392455076541036,5.29086015342996e-05
ActivatedNaive,336,1672566.85382779,194191.84288221,0.781271989909515,0.000105326726229033
ActivatedNaive,336,1672566.85382779,220437.167329182,0.753778656672956,0.000101620228593983
ActivatedNaive,336,1672566.85382779,4201926.05950616,2.28693619421241,0.000308311965028947
ActivatedNaive,336,1672566.85382779,1051805.53120712,0.137747056679337,1.85702888559975e-05
ActivatedNaive,432,2392215.71227317,3669416.74681081,0.28504790025891,3.84285659034163e-05
ActivatedNaive,432,2392215.71227317,1690727.35262517,0.0859884777234002,1.15924863159024e-05
ActivatedNaive,432,2392215.71227317,3983478.42412862,0.442469250843723,5.96512331816474e-05
ActivatedNaive,432,2392215.71227317,3612252.41122216,0.260102850671919,3.50656136376849e-05
ActivatedNaive,432,2392215.71227317,984361.457290677,0.346349622347101,4.66929217015793e-05
ThyTregs,96,32.5053501399293,72.3591482170055,1.50324488620846,0.000202659079846457
ThyTregs,96,32.5053501399293,8.60525934145941,0.540616634649628,7.28829153073789e-05
ThyTregs,96,32.5053501399293,12.8313693514003,0.366331942548227,4.93868265086475e-05
ThyTregs,168,88.3294135028426,126.1018060354,0.182868244148378,2.46532753460558e-05
ThyTregs,168,88.3294135028426,119.7477896791,0.126519298994188,1.70566252725807e-05
ThyTregs,168,88.3294135028426,26.2357053767864,0.494179241273632,6.66224852880332e-05
ThyTregs,168,88.3294135028426,37.8580363674873,0.326497316465363,4.40165446989135e-05
ThyTregs,216,216.219770404757,52.5976821535312,0.572655001982411,7.72021490549961e-05
ThyTregs,216,216.219770404757,58.1393829877591,0.534521501246396,7.20612034636381e-05
ThyTregs,216,216.219770404757,151.5363052879,0.0894943773132058,1.20651321179421e-05
ThyTregs,216,216.219770404757,164.3567913836,0.0575339397931601,7.75640443243547e-06
ThyTregs,288,760.925556892086,553.5597809118,0.0742659636742998,1.00121224427414e-05
ThyTregs,288,760.925556892086,470.7215501099,0.145452927650089,1.96091513425262e-05
ThyTregs,288,760.925556892086,10141.8738118936,151.987943661304,0.0204901657027048
ThyTregs,336,1537.01290735819,3805.7232426261,2.17872827619619,0.000293723977869662
ThyTregs,336,1537.01290735819,563.1065700493,0.401494272743721,5.41272154818969e-05
ThyTregs,336,1537.01290735819,651.1679942767,0.332169965994518,4.47812996263489e-05
ThyTregs,336,1537.01290735819,10457.0864947849,33.6807570877871,0.00454065156154233
ThyTregs,336,1537.01290735819,17249.6071771831,104.505888863118,0.0140889002649158
ThyTregs,432,4708.32786982501,3596.7078296165,0.0557415883306439,7.51476961864865e-06
ThyTregs,432,4708.32786982501,5330.2810765311,0.0174494614226227,2.3524389327173e-06
ThyTregs,432,4708.32786982501,24909.2701366977,18.4081379079145,0.0024816823421991
ThyTregs,432,4708.32786982501,7527.4518141991,0.358504775367318,4.83316115445119e-05
ThyTregs,432,4708.32786982501,2316.2828208925,0.258110286642668,3.479698728385e-05
NaiveTregs,96,475.725449434459,3431.3936824756,38.6010037295678,0.00520397173391684
NaiveTregs,96,475.725449434459,828.9187105849,0.551203602489782,7.43101911827429e-05
NaiveTregs,96,475.725449434459,1064.0935660647,1.52962682367345,0.000206215745310795
NaiveTregs,168,2607.64240506975,5796.9288930174,1.49586016186172,0.000201663512554155
