mu,z,g,alpha,c,epsilon,bR,beta,a,bT,eT,eT,kA,j,kB,n,d,f,nK,rK,Ki,Kj,dKO,Error,Wterror,Koerror,EntryNumber
0.390000186,0.027000281,0.099999726,0.001196165,0.002487444,0.007335736,0.014999758,0.312999718,0.003157718,0.044312874,100,200,264549.9346,2.27E-07,6.834940541,1,1000,1.38629,1810464.295,1045900,0.251148525,1.742637254,100,421.1032538,205.9245965,215.1786639,147
0.390000162,0.027000322,0.099999527,0.001162598,0.002487443,0.007621612,0.014999707,0.312999327,0.003243538,0.044312778,100,200,251318.6007,2.27E-07,7.748543692,1,1000,1.38629,1840217.767,1045900,0.042878757,4.748068468,100,421.2577832,206.0552122,215.2025787,148
0.402988367,0.027,0.094084252,0.0007,0.0024875,0.010599994,0.01,0.310648842,0.0066,0.044312994,100,200,185509.9169,3.22E-07,4.2533,1,1000,1.38629,1942368.735,1045900,0.2,3.579392175,100,3351.43756,1367.326668,1984.119127,328
0.390423262,0.029668926,0.09403083,0.00069936,0.002337976,0.010928773,0.01,0.300853696,0.0066,0.04392078,100,200,175857.7495,3.22E-07,4.2533,1,1000,1.38629,1991255.417,1045900,0.2,3.579392175,100,3364.858682,1390.240698,1974.627142,283
0.394371649,0.03176389,0.096805045,0.000699611,0.0024875,0.008016369,0.01,0.301994859,0.0066,0.044312847,100,200,185958.7773,3.22E-07,4.2533,1,1000,1.38629,1908594.829,1045900,0.2,3.579392175,100,3375.391433,1435.449679,1939.944584,336
0.394765946,0.030585178,0.097198998,0.000640849,0.0024875,0.007952096,0.01,0.300915951,0.0066,0.044256371,100,200,174743.7431,3.22E-07,4.2533,1,1000,1.38629,1886908.444,1045900,0.2,3.579392175,100,3383.204717,1453.247568,1929.960055,175
0.400953725,0.030515608,0.098828725,0.000699999,0.0024875,0.008113337,0.01,0.305404905,0.0066,0.044312696,100,200,162820.7929,3.22E-07,4.2533,1,1000,1.38629,1792615.053,1045900,0.2,3.579392175,100,3385.755091,1436.583812,1949.181012,242
0.404188276,0.029779134,0.098211201,0.000699996,0.002287197,0.010726448,0.01,0.31101113,0.0066,0.044312989,100,200,161207.0344,3.22E-07,4.2533,1,1000,1.38629,1955163.481,1045900,0.2,3.579392175,100,3395.757884,1471.062695,1924.696032,205
0.391701534,0.031227021,0.097311033,0.00069984,0.002486193,0.009051406,0.01,0.3,0.0066,0.04383518,100,200,191788.6311,3.22E-07,4.2533,1,1000,1.38629,1760372.779,1045900,0.2,3.579392175,100,3403.534386,1463.507803,1940.03576,268
0.398145972,0.029737046,0.096924777,0.0007,0.0024875,0.009667371,0.01,0.305548136,0.0066,0.044313,100,200,212681.1617,3.22E-07,4.2533,1,1000,1.38629,1969424.483,1045900,0.2,3.579392175,100,3448.362086,1522.857079,1925.504272,275
