mu,z,g,alpha,c,epsilon,bR,beta,a,bT,eT,eT,kA,j,kB,n,d,f,nK,rK,Ki,Kj,dKO,Error,Wterror,Koerror,EntryNumber
0.405914067,0.029954304,0.099999999,0.000395566,0.0020729,0.010368519,0.01,0.311786333,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1859285.971,1045900,0.2,3.579392175,100,6748.010008,2859.580247,3888.44463,2
0.405999522,0.027002934,0.095970959,0.000446915,0.0020729,0.010987011,0.01,0.312999329,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1944648.546,1045900,0.2,3.579392175,100,6420.547447,2700.742987,3719.833663,3
0.405751522,0.030677093,0.09465483,0.000424494,0.0020729,0.007021524,0.01,0.310131274,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1783812.437,1045900,0.2,3.579392175,100,5413.050453,2310.921708,3102.129108,4
0.405000054,0.030779067,0.098131592,0.000448333,0.0020729,0.010536405,0.01,0.305809119,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1985980.454,1045900,0.2,3.579392175,100,7043.615692,1807.530748,5236.117338,5
0.405002175,0.027871566,0.097723635,0.000448675,0.0020729,0.011998333,0.01,0.306750275,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1852799.876,1045900,0.2,3.579392175,100,6097.941097,2069.15426,4028.818537,6
0.405120327,0.027519442,0.099055588,0.000350001,0.0020729,0.007299415,0.01,0.300259335,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1877752.367,1045900,0.2,3.579392175,100,5505.376049,1938.587539,3566.816159,7
0.40637619,0.02716207,0.1,0.000430464,0.0020729,0.008978431,0.01,0.307470613,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1959591.38,1045900,0.2,3.579392175,100,6248.891408,2711.621604,3537.278915,8
0.405781736,0.028852605,0.099056291,0.000428744,0.0020729,0.007,0.01,0.302715856,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1929814.238,1045900,0.2,3.579392175,100,5160.434159,1908.088335,3252.384144,9
0.405034124,0.03199984,0.098213515,0.00044876,0.0020729,0.008498948,0.01,0.312995248,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1985069.478,1045900,0.2,3.579392175,100,6332.268825,2836.697939,3495.573892,10
0.40630162,0.029578789,0.095219785,0.000356773,0.0020729,0.009508496,0.01,0.310347365,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1867728.366,1045900,0.2,3.579392175,100,7959.736948,2229.953469,5729.839621,11
