mu,z,g,alpha,c,epsilon,bR,beta,a,bT,eT,eT,kA,j,kB,n,d,f,nK,rK,Ki,Kj,dKO,Error,Wterror,Koerror,EntryNumber
0.398428246,0.027006585,0.097881185,0.0007,0.00225,0.007866236,0.007453815,0.30000036,0.0066,0.044312772,100,200,174199.0218,3.22E-07,4.2533,1,1000,1.38629,1773775.991,1045900,0.2,3.579392175,100,3393.149265,1425.769162,1967.386912,1
0.398327011,0.02793763,0.094914371,0.000663207,0.002225951,0.009182135,0.00720622,0.300044427,0.0066,0.041620279,100,200,232296.5328,3.22E-07,4.2533,1,1000,1.38629,1819816.859,1045900,0.2,3.579392175,100,4890.786238,1350.370035,3540.464836,2
0.396972441,0.030640774,0.098577126,0.000635025,0.002247535,0.007620202,0.008419226,0.302051156,0.0066,0.039788515,100,200,208346.2092,3.22E-07,4.2533,1,1000,1.38629,1795390.078,1045900,0.2,3.579392175,100,4598.007911,1754.275698,2843.733194,3
0.390820354,0.030365914,0.096963327,0.0007,0.00225,0.008345932,0.006052525,0.300000008,0.0066,0.044313,100,200,178297.6984,3.22E-07,4.2533,1,1000,1.38629,1955425.62,1045900,0.2,3.579392175,100,3962.399757,1675.16445,2287.23904,4
0.406855771,0.030527481,0.094341926,0.000567705,0.002005025,0.008766429,0.014999884,0.30981022,0.0066,0.04128714,100,200,168710.8682,3.22E-07,4.2533,1,1000,1.38629,1875717.179,1045900,0.2,3.579392175,100,4363.067081,1335.737396,5090.228396,5
0.401541562,0.027,0.099422974,0.0007,0.00225,0.007014762,0.008624091,0.303958156,0.0066,0.044312994,100,200,185241.8855,3.22E-07,4.2533,1,1000,1.38629,1965115.247,1045900,0.2,3.579392175,100,3833.553911,1681.60526,2151.95783,6
0.398395219,0.027707239,0.095025347,0.0007,0.00225,0.007,0.005950385,0.303938459,0.0066,0.044313,100,200,176375.0919,3.22E-07,4.2533,1,1000,1.38629,1768862.855,1045900,0.2,3.579392175,100,3395.374353,1445.454736,1949.92783,7
0.396625651,0.031710253,0.099400322,0.000521803,0.001897295,0.009496803,0.005813223,0.303141927,0.0066,0.03970028,100,200,196746.24,3.22E-07,4.2533,1,1000,1.38629,1752149.426,1045900,0.2,3.579392175,100,5102.480836,1933.136088,3169.362564,8
0.406273667,0.031348037,0.097477991,0.000663184,0.002247955,0.009630217,0.01302348,0.309392454,0.0066,0.041852251,100,200,229401.5354,3.22E-07,4.2533,1,1000,1.38629,1940728.221,1045900,0.2,3.579392175,100,4553.632991,1413.147505,3140.518103,9
0.406575405,0.027000376,0.095681104,0.000697413,0.002248938,0.007000401,0.008745459,0.310317635,0.0066,0.042939298,100,200,229585.8403,3.22E-07,4.2533,1,1000,1.38629,1797150.34,1045900,0.2,3.579392175,100,4238.660693,1582.561395,2656.111056,10
