mu,z,g,alpha,c,epsilon,bR,beta,a,bT,eT,eT,kA,j,kB,n,d,f,nK,rK,Ki,Kj,dKO,Error,Wterror,Koerror,EntryNumber
0.399738462,0.028917608,0.098228115,0.000448759,0.0020729,0.009392412,0.01,0.304369546,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1842535.48,1045900,0.2,3.579392175,100,6169.962049,2554.523325,3615.448342,146
0.390000001,0.027,0.1,0.000369994,0.0020729,0.007100202,0.01,0.313,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1774111.394,1045900,0.2,3.579392175,100,498.3512433,207.9958145,290.3554651,641
0.390000001,0.027000001,0.099999999,0.000448758,0.0020729,0.007005168,0.01,0.312999999,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1821173.947,1045900,0.2,3.579392175,100,497.6763037,207.6688887,290.0074811,642
0.390000001,0.027,0.099999998,0.000448759,0.0020729,0.007004934,0.01,0.313,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1795125.513,1045900,0.2,3.579392175,100,497.6325494,207.6788483,289.9537923,643
0.390000001,0.027000001,0.099999999,0.000448757,0.0020729,0.007002734,0.01,0.312999999,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1955408.41,1045900,0.2,3.579392175,100,497.877668,207.6270246,290.2509242,644
0.392978437,0.027,0.1,0.000434352,0.0020729,0.007,0.01,0.308740291,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1875726.246,1045900,0.2,3.579392175,100,962.2392114,403.6762271,558.5619454,645
0.390084671,0.027014432,0.096872239,0.000370878,0.0020729,0.009378743,0.01,0.300973992,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1965386.615,1045900,0.2,3.579392175,100,8003.600879,4336.485874,3667.182846,646
0.39,0.027,0.1,0.00044876,0.0020729,0.008784486,0.01,0.313,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1768897.3,1045900,0.2,3.579392175,100,501.7668451,203.9694519,297.7975295,647
0.39000008,0.027000054,0.099999936,0.000448394,0.0020729,0.007000413,0.01,0.312999939,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1764087.252,1045900,0.2,3.579392175,100,497.5779295,207.7000986,289.8779316,648
0.39,0.027000493,0.1,0.00044876,0.0020729,0.010357658,0.01,0.313,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1950176.719,1045900,0.2,3.579392175,100,508.8383326,198.8828639,309.9555102,649
0.403398983,0.027007835,0.1,0.00035,0.0020729,0.007362034,0.01,0.313,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1797802.928,1045900,0.2,3.579392175,100,5004.187513,2831.430621,2172.768919,650
0.390016364,0.027000106,0.09999999,0.00035,0.0020729,0.008439328,0.01,0.306398118,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1761316.528,1045900,0.2,3.579392175,100,921.8418856,399.1332478,562.6218409,651
0.39,0.027,0.099999999,0.00044876,0.0020729,0.008676385,0.01,0.313,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1840643.636,1045900,0.2,3.579392175,100,501.5404802,204.2052138,297.3353055,652
0.390000061,0.027000064,0.09999991,0.000448657,0.0020729,0.008020072,0.01,0.312999946,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1788597.289,1045900,0.2,3.579392175,100,499.6659862,205.752245,293.9138006,653
0.390001711,0.02813288,0.1,0.00044876,0.0020729,0.007,0.01,0.310245942,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1916138.953,1045900,0.2,3.579392175,100,544.941595,194.5530392,389.3209107,654
0.39,0.027000001,0.099999992,0.00044862,0.0020729,0.009097901,0.01,0.312999999,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1939787.38,1045900,0.2,3.579392175,100,503.0848788,203.0358668,300.0491383,655
