mu,z,g,alpha,c,epsilon,bR,beta,a,bT,eT,eT,kA,j,kB,n,d,f,nK,rK,Ki,Kj,dKO,Error,Wterror,Koerror,EntryNumber
0.399738462,0.028917608,0.098228115,0.000448759,0.0020729,0.009392412,0.01,0.304369546,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1842535.48,1045900,0.2,3.579392175,100,6169.962049,2554.523325,3615.448342,146
0.404922327,0.031822159,0.094545109,0.00044876,0.0020729,0.011980203,0.01,0.312984754,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1869377.631,1045900,0.2,3.579392175,100,6162.828793,1829.706682,4333.173426,147
0.403349641,0.028651561,0.096847717,0.000445929,0.0020729,0.007139583,0.01,0.300053526,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1766253.878,1045900,0.2,3.579392175,100,5857.353913,1894.123782,3963.329147,148
0.396579823,0.028423991,0.096283051,0.000437941,0.0020729,0.011988667,0.01,0.301509325,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1988313.407,1045900,0.2,3.579392175,100,6150.956543,2307.670163,3843.297807,149
0.40263208,0.028759695,0.098865765,0.000443198,0.0020729,0.00881458,0.01,0.306383034,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1880172.379,1045900,0.2,3.579392175,100,6216.046718,2661.608615,3554.445284,150
0.416313339,0.029745804,0.099182554,0.000440945,0.0020729,0.011337525,0.01,0.307711515,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1860902.28,1045900,0.2,3.579392175,100,9122.472504,2296.050778,6826.323269,151
0.400302953,0.027908638,0.098604931,0.00044876,0.0020729,0.012,0.01,0.300082387,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1982280.122,1045900,0.2,3.579392175,100,6048.223234,1749.484041,4298.749911,152
0.414169706,0.027014056,0.098944022,0.00044876,0.0020729,0.007,0.01,0.309192451,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1973230.319,1045900,0.2,3.579392175,100,5297.661863,1963.612634,3334.100772,153
0.404576409,0.0292989,0.099974562,0.000421972,0.0020729,0.009625675,0.01,0.306926411,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1861469.238,1045900,0.2,3.579392175,100,7213.502345,2615.246253,4598.261881,154
0.402338614,0.027000532,0.095174495,0.00044876,0.0020729,0.007154045,0.01,0.304863173,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1851357.099,1045900,0.2,3.579392175,100,6904.228397,2579.125642,4325.119486,155
0.401760987,0.031999733,0.099999202,0.000448516,0.0020729,0.011219138,0.01,0.309829472,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1818453.064,1045900,0.2,3.579392175,100,6435.702252,2638.079037,3797.645621,156
0.394826988,0.031993374,0.094,0.000445367,0.0020729,0.010820567,0.01,0.30864783,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1924533.249,1045900,0.2,3.579392175,100,6360.473959,2675.256618,3685.228012,157
0.396978734,0.028127358,0.095826073,0.000448361,0.0020729,0.009919613,0.01,0.302376589,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1752578.821,1045900,0.2,3.579392175,100,7081.008879,2439.244028,4641.781918,158
0.401289799,0.027004801,0.0954687,0.000448759,0.0020729,0.007239819,0.01,0.300104581,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1902362.093,1045900,0.2,3.579392175,100,5138.227206,1837.826509,3300.513485,159
0.391578457,0.032,0.09400101,0.000448759,0.0020729,0.011638238,0.01,0.302900311,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1889955.978,1045900,0.2,3.579392175,100,6348.964866,2484.899167,3864.067993,160
0.410407976,0.028372622,0.095293014,0.000360699,0.0020729,0.010145295,0.01,0.312937418,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1886020.152,1045900,0.2,3.579392175,100,8572.172373,2226.247014,6345.951981,161
0.407401637,0.02788928,0.094015182,0.000448606,0.0020729,0.008009088,0.01,0.308617526,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1822158.753,1045900,0.2,3.579392175,100,5553.255201,1832.675993,3720.591737,162
0.407147622,0.027000105,0.095630841,0.00035,0.0020729,0.007000063,0.01,0.300090089,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1788538.037,1045900,0.2,3.579392175,100,7431.868263,1727.183782,5704.772407,163
0.401215047,0.030010357,0.097955362,0.000413849,0.0020729,0.009696655,0.01,0.309187553,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1835555.383,1045900,0.2,3.579392175,100,6721.377625,2885.178078,3836.211951,164
0.407356788,0.029865328,0.095110389,0.00035,0.0020729,0.007006161,0.01,0.300000543,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1755939.41,1045900,0.2,3.579392175,100,10998.95419,2133.122469,8866.041173,165
0.400741743,0.027000115,0.098487892,0.000448556,0.0020729,0.008239215,0.01,0.303031122,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1892670.631,1045900,0.2,3.579392175,100,6151.772233,2682.44921,3469.324389,166
0.407095601,0.028008723,0.097213742,0.000448536,0.0020729,0.007021995,0.01,0.304989395,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1940008.774,1045900,0.2,3.579392175,100,5190.818486,1913.834438,3277.013491,167
0.405209098,0.031996151,0.098475575,0.000448759,0.0020729,0.011849214,0.01,0.31296801,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1848838.019,1045900,0.2,3.579392175,100,5600.124648,2498.538874,3101.587618,168
0.402712923,0.027,0.099985475,0.000447608,0.0020729,0.011997017,0.01,0.300045166,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1798072.246,1045900,0.2,3.579392175,100,5965.873307,1990.753321,4279.36757,169
0.398395605,0.031568318,0.09679264,0.000448758,0.0020729,0.010122189,0.01,0.307121534,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1782264.281,1045900,0.2,3.579392175,100,6276.50381,2496.18555,3780.319138,170
0.395902206,0.031097262,0.095648866,0.000409173,0.0020729,0.009472524,0.01,0.305318602,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1951987.122,1045900,0.2,3.579392175,100,6310.306082,2699.113329,3611.195318,171
0.406967672,0.029777472,0.097361883,0.000448366,0.0020729,0.007932016,0.01,0.306585697,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1857262.349,1045900,0.2,3.579392175,100,5555.680219,1829.952414,3725.803154,172
0.414468311,0.029333186,0.099258857,0.000445022,0.0020729,0.00935697,0.01,0.309994909,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1948527.48,1045900,0.2,3.579392175,100,8127.152266,1943.883185,6183.340639,173
0.418759033,0.027312634,0.099999963,0.00044876,0.0020729,0.007,0.01,0.312623075,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1831252.357,1045900,0.2,3.579392175,100,5391.500598,1966.211196,3425.294447,174
0.403345506,0.030240174,0.098910737,0.000448561,0.0020729,0.008456455,0.01,0.308682333,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1973517.28,1045900,0.2,3.579392175,100,6236.800522,2773.786624,3463.024693,175
0.404467096,0.030128437,0.099999943,0.000388096,0.0020729,0.008411523,0.01,0.301139596,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1871868.068,1045900,0.2,3.579392175,100,6145.338961,1817.700802,4327.764765,176
0.419838297,0.027139966,0.097791294,0.000440367,0.0020729,0.007237671,0.01,0.302687934,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1759528.426,1045900,0.2,3.579392175,100,19644.94027,4058.261137,15586.99301,177
0.401026879,0.029482649,0.097151849,0.00044876,0.0020729,0.007345768,0.01,0.300006277,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1752716.141,1045900,0.2,3.579392175,100,5284.395703,1797.171236,3487.239938,178
0.405851715,0.028273713,0.094003155,0.000439078,0.0020729,0.007015772,0.01,0.306096885,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1756120.629,1045900,0.2,3.579392175,100,5463.307864,1912.76743,3550.586301,179
0.39707776,0.030895165,0.097320971,0.000442927,0.0020729,0.011999933,0.01,0.300016943,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1889074.603,1045900,0.2,3.579392175,100,6515.900724,1735.537723,4780.399285,180
0.410301994,0.031975835,0.098484381,0.000416355,0.0020729,0.00967404,0.01,0.302921181,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1766367.667,1045900,0.2,3.579392175,100,16731.17354,2082.260141,14648.93545,181
0.406161582,0.027282792,0.1,0.000448759,0.0020729,0.011323782,0.01,0.305338722,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1844526.721,1045900,0.2,3.579392175,100,6178.149434,2301.118729,3877.035815,182
0.401902902,0.031999553,0.09681732,0.000448166,0.0020729,0.011995725,0.01,0.307910251,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1962499.878,1045900,0.2,3.579392175,100,6106.108384,1820.428285,4285.678143,183
0.409346539,0.030367501,0.095921603,0.000448758,0.0020729,0.007000933,0.01,0.311735991,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1897572.924,1045900,0.2,3.579392175,100,5496.75318,2372.591111,3124.180391,184
0.415465651,0.03046507,0.098994843,0.000448275,0.0020729,0.011512138,0.01,0.307121889,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1778796.152,1045900,0.2,3.579392175,100,9730.239845,2360.383828,7369.866053,185
0.406443855,0.031457496,0.099506977,0.000447141,0.0020729,0.012,0.01,0.309793461,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1939125.182,1045900,0.2,3.579392175,100,6266.268713,2140.069014,4126.202165,186
0.406473267,0.031967263,0.096767795,0.000446477,0.0020729,0.010510602,0.01,0.305599986,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1786789.516,1045900,0.2,3.579392175,100,6047.527167,2098.196569,3949.393215,187
0.392861874,0.03199183,0.095134454,0.000437183,0.0020729,0.011351298,0.01,0.300447054,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1947233.764,1045900,0.2,3.579392175,100,6178.614769,2098.585776,4080.051413,188
0.404987615,0.027497397,0.098574716,0.00044876,0.0020729,0.011525532,0.01,0.308150876,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1971432.193,1045900,0.2,3.579392175,100,5498.751835,2515.628739,2983.12776,189
0.392431919,0.031171819,0.097136625,0.0004158,0.0020729,0.010890081,0.01,0.302880554,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1860048.127,1045900,0.2,3.579392175,100,7325.282315,2781.939944,4543.3733,190
0.405518382,0.029594178,0.096066779,0.000414981,0.0020729,0.012,0.01,0.309777333,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1922470.349,1045900,0.2,3.579392175,100,6180.377882,1844.045043,4336.454786,191
0.413694299,0.027000008,0.09600255,0.00044876,0.0020729,0.007003019,0.01,0.312831194,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1773399.369,1045900,0.2,3.579392175,100,5420.87353,2302.587643,3118.303448,192
0.41152301,0.029551842,0.098707818,0.000436356,0.0020729,0.008261639,0.01,0.309011354,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1987834.501,1045900,0.2,3.579392175,100,6183.636421,1889.385139,4294.259668,193
0.395290243,0.027558253,0.096425698,0.000448406,0.0020729,0.009463163,0.01,0.300425204,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1838630.408,1045900,0.2,3.579392175,100,6101.383193,2508.773624,3592.62083,194
0.404024414,0.027717466,0.097763148,0.00044876,0.0020729,0.007000023,0.01,0.300560391,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1778173.164,1045900,0.2,3.579392175,100,5173.963237,1837.889965,3336.124765,195
0.406853776,0.027003309,0.099713374,0.00044876,0.0020729,0.011319304,0.01,0.305889203,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1762977.524,1045900,0.2,3.579392175,100,6170.154126,2253.854449,3916.324419,196
0.410408914,0.029511039,0.09775855,0.00044876,0.0020729,0.010850534,0.01,0.313,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1942569.784,1045900,0.2,3.579392175,100,6259.829112,2156.200154,4103.648942,197
0.401152856,0.030774603,0.094404459,0.000448627,0.0020729,0.00797774,0.01,0.300000204,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1812526.556,1045900,0.2,3.579392175,100,8019.055781,2178.028408,6435.505787,198
0.396310948,0.031990849,0.09401273,0.000444173,0.0020729,0.008481292,0.01,0.300014251,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1972514.25,1045900,0.2,3.579392175,100,6854.299295,1852.70731,5001.620381,199
