mu,z,g,alpha,c,epsilon,bR,beta,a,bT,eT,eT,kA,j,kB,n,d,f,nK,rK,Ki,Kj,dKO,Error,Wterror,Koerror,EntryNumber
0.407,0.029842542,0.0959285,0.000699616,0.001499592,0.002458504,0.006517721,0.303930834,0.006479188,0.044313,100,200,175739.0914,4.18E-07,2.22500826,1,1000,1.38629,1894158.808,1045900,0.256792104,0.910101003,100,2687.110444,947.9954911,1739.15274,59
0.400476909,0.032,0.094571901,0.0007,0.001499999,0.002547005,0.006024776,0.300456123,0.006400001,0.044306117,100,200,177702.1184,4.18E-07,6.028946998,1,1000,1.38629,1974462.21,1045900,0.297268551,0.885289256,100,2731.581094,993.2715242,1738.343199,20
0.399562226,0.029553596,0.094402976,0.0007,0.0015,0.003554448,0.010988717,0.300024903,0.006400251,0.044312365,100,200,163913.6071,4.18E-07,2.266130201,1,1000,1.38629,1977013.15,1045900,0.021258038,2.194671043,100,2777.339009,1183.817698,1593.525123,217
0.407,0.028008119,0.099999966,0.000699982,0.001498115,0.001710671,0.005,0.300034741,0.006406101,0.044312999,100,200,192183.3167,4.18E-07,0.510477616,1,1000,1.38629,1797566.689,1045900,0.288413433,0.435729753,100,2854.603286,1279.047567,1575.56876,113
0.406996646,0.029926365,0.094000006,0.000687285,0.0015,0.00234781,0.005571725,0.309815323,0.006400804,0.044259559,100,200,179011.5315,4.18E-07,0.875345943,1,1000,1.38629,1895013.013,1045900,0.2045655,0.43556777,100,2864.441815,1305.048231,1559.394209,68
0.399668281,0.030490402,0.094213008,0.000674076,0.001499665,0.002993689,0.005012144,0.300002087,0.0064,0.044313,100,200,169145.1987,4.18E-07,3.672460216,1,1000,1.38629,1886997.09,1045900,0.021912099,2.699908644,100,2886.405534,1225.38403,1661.031792,143
0.406797167,0.029966364,0.099006237,0.000699999,0.00149994,0.001963405,0.005,0.300630301,0.00642498,0.044299521,100,200,249267.9082,4.18E-07,2.80537213,1,1000,1.38629,1946237.201,1045900,0.027067309,0.357993,100,2886.818028,1213.170299,1673.687355,144
0.406935466,0.031993374,0.096525617,0.000699998,0.0015,0.002415634,0.005000003,0.30899314,0.0064,0.044313,100,200,164294.3431,4.18E-07,1.734769238,1,1000,1.38629,1736391.004,1045900,0.022434361,1.863835067,100,2896.186121,1375.584967,1520.603327,139
0.402675649,0.029847021,0.09616791,0.00068749,0.00149967,0.001888375,0.005389122,0.302729511,0.006403081,0.044311169,100,200,203258.2629,4.18E-07,0.792044306,1,1000,1.38629,1771965.729,1045900,0.137961125,0.359683936,100,2896.805316,1295.557814,1601.249833,119
0.402483426,0.030594623,0.095831841,0.000699887,0.0015,0.00175129,0.00500106,0.300006667,0.006400001,0.04430799,100,200,216618.7869,4.18E-07,1.777324816,1,1000,1.38629,1781110.506,1045900,0.278311304,0.361694639,100,2934.043943,1165.378753,1768.67519,124
0.398686713,0.031999977,0.097171915,0.000699999,0.0015,0.001540428,0.006789834,0.300000016,0.006400001,0.044313,100,200,175847.1155,4.18E-07,0.425406313,1,1000,1.38629,1937931.183,1045900,0.114563853,4.74219743,100,2940.717047,1564.949431,1375.768961,185
