N,T,R,hour
-291533.678740944,98537.7204067198,-2685.39287612059,96
-58876.135534262,106377.947725862,293.128156338607,96
-59956.0701750553,106341.555468998,38.808272794907,96
-75687.2739353779,708910.849006667,-334.00739527696,168
-154896.482585879,701267.855189514,3468.35525359514,168
-132386.404421825,703439.880275519,5599.31679581404,168
-161405.9243228,700639.751162267,4863.54049427004,168
55202.7166265163,1460582.24863399,20246.6492748657,216
14407.8077579644,1458098.02651532,19675.9299117344,216
-122194.787310913,1449779.55743305,16754.3336835707,216
-2460.03533511166,1457070.85253533,17951.6547127056,216
-58817.8858308237,1870120.1470748,-16364.2754311642,288
107411.782908097,2044979.36463715,39347.094186877,288
-2440103.81873249,-634786.457012689,-368008.034692102,288
-72333.7251807092,1771681.95080164,-57400.5003181858,336
402728.85365516,2459183.80341011,78183.3705643862,336
317933.131764362,2336468.98963536,67394.8002792985,336
-2867993.29597106,-2274145.31450479,-343479.42577201,336
-1057683.45541201,345701.890108797,-229086.501882783,336
-1319061.74988517,-1196862.04124008,68181.6678624541,432
-173751.363760357,781827.352945564,24339.0525681741,432
-2274853.24599983,-2848130.13356381,-801330.073075019,432
-1327036.42406588,-1210639.4446537,-134896.147902552,432
52797.1637645124,1173222.71101838,131868.203316008,432
