mu,z,g,alpha,c,epsilon,bR,beta,a,bT,eT,eT,kA,j,kB,n,d,f,nK,rK,Ki,Kj,dKO,Error,Wterror,Koerror,EntryNumber
0.405000008,0.027,0.099999987,0.000350002,0.0020729,0.00880592,0.01,0.313,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1736778.885,1045900,0.2,3.579392175,100,7110.326261,4133.360082,2976.972628,90
0.405,0.027,0.1,0.000354732,0.0020729,0.008432692,0.01,0.313,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1770392.085,1045900,0.2,3.579392175,100,7157.184812,4186.097889,2971.181297,8
0.405039181,0.027001096,0.099999998,0.000448747,0.0020729,0.007002606,0.01,0.312999996,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1833527.964,1045900,0.2,3.579392175,100,7181.689465,4232.955468,2948.761014,55
0.405,0.027,0.099999721,0.00035,0.0020729,0.007921585,0.01,0.313,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1811825.932,1045900,0.2,3.579392175,100,7204.128087,4242.848327,2961.33965,3
0.405001388,0.027,0.1,0.00035,0.0020729,0.007257475,0.01,0.312999828,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1890990.575,1045900,0.2,3.579392175,100,7374.168159,4402.972866,2971.225916,80
0.405000003,0.027,0.099999986,0.000350561,0.0020729,0.00715854,0.01,0.312999999,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1899044.911,1045900,0.2,3.579392175,100,7381.843561,4413.061176,2968.804616,82
0.405000196,0.027000208,0.1,0.00036286,0.0020729,0.007003614,0.01,0.313,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1921314.596,1045900,0.2,3.579392175,100,7439.39073,4464.706108,2974.681413,41
0.405000001,0.027,0.1,0.000390095,0.0020729,0.009495103,0.01,0.313,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1775574.836,1045900,0.2,3.579392175,100,7480.92601,4401.627598,3079.313897,86
0.405,0.027,0.099999996,0.000350146,0.0020729,0.010279729,0.01,0.312999994,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1875915.062,1045900,0.2,3.579392175,100,7508.799776,3785.804115,3723.036608,6
0.405,0.027,0.1,0.000432386,0.0020729,0.007,0.01,0.312958119,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1917904.741,1045900,0.2,3.579392175,100,7514.391243,4505.383279,3009.021968,66
0.405000311,0.027,0.1,0.00035,0.0020729,0.007,0.01,0.313,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1947960.978,1045900,0.2,3.579392175,100,7540.953828,4548.725082,2992.227388,48
