"","FileID","Organ","Age","Genotype","intage","NaiveCT","ActivatedCD4CT","X4TregCT","ThymicDerivedTregsCT","X4TregProlCT","NaiveDerivedTregsCT","hours","ActivatedProlCT","NaiveProlCT","ThymicNaive","ActivatedNaiveCT","X4TregRatio","NonProlActivatedRatio","NonProlActivatedCT","ActivatedProlRatio","EarlyActivatedCD4CT"
"1","JP090617D19WTS","Spleen",18,"WT",18,3207804.50548517,639021.995606313,372191.298316339,13866.9156559659,1e+06,358324.382660374,432,1,0,3207804.50548517,639021.995606313,0.0882175226586103,1,639021.995606313,0,0.0246236475640299
"2","JP091317D19WTS","Spleen",18,"WT",18,732014.207611665,145823.468655996,130242.978674727,4518.2330460312,1e+06,125724.745628696,432,1,0,732014.207611665,145823.468655996,0.129198966408269,1,145823.468655996,0,0.0056190643255444
"3","JA102517D12WTS","Spleen",12,"WT",12,621000.877017553,54863.2723226946,50941.5572684148,794.9437179261,38206.1679513111,11940.4455991776,288,15046.040046118,170307.086484439,450693.790533114,54863.2723226946,0.0700896495517522,0.985018402665994,54041.3328683301,0.014981597334006,0.00235912070987587
"4","JA103117D14WTS","Spleen",14,"WT",14,2385998.15691539,394777.442613054,526692.62081054,31548.2938953026,357182.352043929,137961.974871308,336,134161.705634821,810860.874558797,1575137.28235659,394777.442613054,0.159243441122636,1,394777.442613054,0,0.0240024685108737
"5","JA111417D18WTS","Spleen",18,"WT",18,4833428.76770157,962860.20281977,661115.187619145,25341.5393541828,374585.349433257,261188.298831704,432,219769.715124123,1103214.42327734,3730214.34442423,962860.20281977,0.102380952380952,1,962860.20281977,0,0.0371022131486551
"6","GM030918D7WTS","Spleen",7,"WT",7,356574.434321147,26139.351576832,21618.7522061147,800.0706893575,9007.8134192144,11810.8680975427,168,4162.24969075258,56778.4485633116,299795.985757835,26139.351576832,0.0534677528241595,1,26139.351576832,0,0.000925333045819852
"7","GM031318D19WTS","Spleen",18,"WT",18,610211.044038911,121559.240420039,92904.4250763612,1964.3970476345,35356.9388427553,55583.0891859714,432,23812.4837274523,119535.466874247,490675.577164664,121559.240420039,0.112655843573415,1,121559.240420039,0,0.00468408273085218
"8","GM032118D12WTS_1","Spleen",12,"WT",12,760351.173630942,67174.3874181609,91351.5736620928,3260.8435742899,43930.2153597962,44160.5147280066,288,15866.147319989,179589.933000171,580761.240630771,67174.3874181609,0.0994165272061152,1,67174.3874181609,0,0.00288849865898092
"9","GM032118D14WTS_3","Spleen",14,"WT",14,416647.503721586,68936.782500689,70245.831192948,2195.8842338057,32478.7188257167,35571.2281334255,336,17198.6165479458,103946.839295768,312700.664425818,68936.782500689,0.126380037698591,1,68936.782500689,0,0.00419135637604189
"10","GM032118D14WTS_5","Spleen",14,"WT",14,363957.316582995,60218.8808254138,45635.5081349737,1277.9462511251,21444.1100099124,22913.4518739362,336,12660.6700008166,76519.9123012491,287437.404281746,60218.8808254138,0.0971357409713574,1,60218.8808254138,0,0.00366130795418516
"11","JA032218D14WTS_1","Spleen",14,"WT",14,2125283.46046248,351640.661128538,257563.500635224,4970.2658947294,156891.472468157,95701.7622723377,336,90327.0118055499,545928.060785786,1579355.3996767,351640.661128538,0.0941907721730815,1,351640.661128538,0,0.0213797521966151
"12","JA032218D14WTS_3","Spleen",14,"WT",14,1679392.96615414,277865.45366732,188845.051540382,5729.3784413063,106978.712707716,76136.9603913593,336,58606.6557729166,354213.178269698,1325179.78788444,277865.45366732,0.0879943833372338,1,277865.45366732,0,0.0168942195829731
"13","GM032718D20WTS","Spleen",18,"WT",18,1830204.94616442,364592.422969257,313434.064125937,10400.1348527893,180416.041754199,122617.887518949,432,114597.651417128,575264.803185831,1254940.14297859,364592.422969257,0.124962178517398,0.881574857928659,321415.513480988,0.118425142071341,0.014048961365082
"14","JA033018D12WTS","Spleen",12,"WT",12,1018676.99759041,89996.5774542503,126017.589300416,3026.4096361053,65381.510766743,57609.6688975676,288,23332.9204844614,264106.814464247,754570.183126163,89996.5774542503,0.102064056939502,1,89996.5774542503,0,0.00386985283053276
"15","JA042618D7WTS_1","Spleen",7,"WT",7,376870.823325267,27627.216092214,60760.6969456246,1392.4884271363,34150.7245352235,25217.4839832647,168,7028.56667420327,95878.7052760643,280992.118049203,27627.216092214,0.130595499228207,1,27627.216092214,0,0.000978003449664374
