"","FileID","Organ","Age","Genotype","intage","NaiveCT","ActivatedCD4CT","X4TregCT","ThymicDerivedTregsCT","X4TregProlCT","NaiveDerivedTregsCT","hours","ActivatedProlCT","NaiveProlCT","ThymicNaive","ActivatedNaiveCT","X4TregRatio","NonProlActivatedRatio","NonProlActivatedCT","ActivatedProlRatio","EarlyActivatedCD4CT"
"1","JA102517D12KOS","Spleen",12,"KO",12,460298.761284545,484194.439258279,78496.7539325135,553.5597809118,41599.6622222998,36343.5319293019,288,266312.411523666,126235.153359616,334063.607924929,217882.027734613,0.0767326732673267,0.449988703026782,217882.027734613,0.550011296973218,0.0456111161781299
"2","JA103117D14KOS","Spleen",14,"KO",14,609249.493941727,881694.695490673,160449.291909116,3805.7232426261,128359.433527293,28284.1351391972,336,130008.618457998,207048.180674522,402201.313267205,751686.077032676,0.0971599402092676,0.852546897329754,751686.077032676,0.147453102670246,0.14051274463803
"3","JA111417D18KOS","Spleen",18,"KO",18,3079733.87373214,5320685.83913454,1027553.52141681,24909.2701366977,818242.090766253,184402.16051386,432,1450203.53896228,702939.257543407,2376794.61618873,3870482.30017226,0.108989864086616,0.727440487409388,3870482.30017226,0.272559512590612,0.673776183429071
"4","GM030918D7KOST3","Spleen",7,"KO",7,202191.030106987,19509.660799797,9096.9256353981,126.1018060354,3173.8949363451,5796.9288930174,168,441.376468225392,51438.8829945593,150752.147112428,19068.2843315716,0.0394151628239865,0.977376517574822,19068.2843315716,0.022623482425178,0.00102230622590936
"5","GM030918D7KOST5","Spleen",7,"KO",7,281400.238757488,27152.6546169506,5294.562986526,119.7477896791,1542.393699156,3632.4214976909,168,1,66593.5353793358,214806.703378153,27151.6546169506,0.0168698610717323,1,27152.6546169506,0,0.00142279910192821
"6","GM031318D19KOS","Spleen",18,"KO",18,2131917.05179819,3683195.15022443,361119.596244343,7527.4518141991,150884.460930796,202707.683499348,432,1,583438.624718948,1548478.42707924,3683194.15022443,0.0584692427420992,1,3683195.15022443,0,0.466415279190087
"7","GM032118D12KOS_2","Spleen",12,"KO",12,294069.092545624,309335.221695935,22785.3843144723,470.7215501099,15418.0544922362,6896.6082721261,288,81176.5029966135,69457.1803913904,224611.912154233,228158.718699322,0.0363873509369676,0.737577562129647,228158.718699322,0.262422437870353,0.0291393778837571
"8","GM032118D14KOS_4","Spleen",14,"KO",14,134186.915105858,194192.84288221,24865.421026544,563.1065700493,14374.661900744,9927.6525557505,336,17203.6574451168,28212.0196738342,105974.895432023,176989.185437094,0.0703913952793546,0.911409415559399,176989.185437094,0.088590584440601,0.0309478660606616
"9","GM032118D14KOS_6","Spleen",14,"KO",14,218982.636996656,316907.65665696,35653.9913116317,651.1679942767,25791.6596046069,9211.1637127479,336,90082.3885542159,46039.8277902439,172942.809206412,226825.268102744,0.0623818525519849,0.71574562285907,226825.268102744,0.28425437714093,0.0505045168825642
"10","JA032218D14KOS_2","Spleen",14,"KO",14,3404909.06473208,4927521.96079711,446528.21736294,10457.0864947849,392905.833181801,43165.2976863542,336,2137089.65610999,718154.527168217,2686754.53756386,2790432.30468712,0.0508634571603087,0.566295254874058,2790432.30468712,0.433704745125942,0.785282749819033
"11","JA032218D14KOS_4","Spleen",14,"KO",14,1594599.22417303,2307674.75618352,332135.293473713,17249.6071771831,285724.753416074,29160.9328804553,336,769140.492467533,336328.703670945,1258270.52050209,1538534.26371599,0.0784372203996421,0.666703251657719,1538534.26371599,0.333296748342281,0.36776643364378
"12","GM032718D20KOS","Spleen",18,"KO",18,752083.463967796,1299332.99455235,94355.2450257827,2316.2828208925,67287.6797860632,24751.282418827,432,262905.936831347,236392.73119956,515690.732768236,1036427.05772101,0.0439726392466909,0.797660847578243,1036427.05772101,0.202339152421757,0.164538868210146
"13","JA033018D12KOS","Spleen",12,"KO",12,2841584.69418621,2989101.04334577,430140.513193451,10141.8738118936,312652.923811041,107345.715570516,288,710156.71161528,736722.124272051,2104862.56991416,2278944.3317305,0.0687034739454094,0.762417964024266,2278944.3317305,0.237582035975734,0.281573318283172
"14","JA042618D7KOS_2","Spleen",7,"KO",7,258890.160593434,24980.6295309454,3163.6014443071,26.2357053767864,645.2081892994,2492.1575496309,168,1588.60297217558,41223.8799306706,217666.280662763,23392.0265587698,0.011021680806323,0.936406607759518,23392.0265587698,0.063593392240482,0.00130898498742154
"15","JA042618D7KOS_4","Spleen",7,"KO",7,287909.680494409,27780.7586441973,3899.3777458511,37.8580363674873,1750.7410287495,2110.7786807341,168,1,59216.4830897363,228693.197404672,27779.7586441973,0.0122011952191235,1,27780.7586441973,0,0.00145571175295594
"16","GM042718D4KOS","Spleen",4,"KO",4,313754.115109177,10573.0661076692,3893.0587007696,72.3591482170055,389.3058700769,3431.3936824756,96,1,145611.139899709,168142.975209468,10572.0661076692,0.0118611171015743,1,10573.0661076692,0,0.000725664770523028
"17","AD050318D9KOS_2","Spleen",9,"KO",9,174196.979212856,10607.7939813473,2681.965282313,52.5976821535312,520.9572850536,2108.4103151058,216,1454.724373761,66552.9754211921,107644.003791664,9153.06960758626,0.0143048265925697,0.862862686028878,9153.06960758626,0.137137313971122,0.000354830708676066
"18","AD050318D9KOS_4","Spleen",9,"KO",9,214991.888081408,13092.0161000136,3252.6846454443,58.1393829877591,537.400071856,2657.1451906006,216,991.089438947609,82138.9091125048,132852.978968904,12100.926661066,0.0140603985817337,0.924298180557036,12100.926661066,0.075701819442964,0.000437927938545456
"19","AD051018D9KOS_T3","Spleen",9,"KO",9,351594.483150285,21410.4851822898,6174.280873608,151.5363052879,490.0222915561,5532.7222767638,216,2291.32039822424,66833.3940883814,284761.089061904,19119.1647840656,0.0162832773326441,0.892981388384437,19119.1647840656,0.107018611615563,0.000716180729347594
"20","AD051018D9KOS_T4","Spleen",9,"KO",9,231859.731174484,14119.1900800078,4976.9598444731,164.3567913836,175.6574062755,4636.945646814,216,1720.55443263764,44073.4241560522,187786.307018432,12398.6356473702,0.0198320111992534,0.878140713249985,12398.6356473702,0.121859286750015,0.000472286908176262
"21","AD052218D4KOS_T4","Spleen",4,"KO",4,81096.5719024953,2732.83878852734,914.5376683104,8.60525934145941,77.0136983840354,828.9187105849,96,1,39171.0352981268,41925.5366043685,2731.83878852734,0.010791775531069,1,2732.83878852734,0,0.00018756383551926
"22","AD052218D4KOS_T7","Spleen",4,"KO",4,82176.5065432886,2769.23104539095,1168.8575518541,12.8313693514003,91.9326164379649,1064.0935660647,96,326.359290106159,40871.9993070568,41304.5072362319,2442.8717552848,0.0135732804636267,0.88214804588106,2442.8717552848,0.11785195411894,0.000190061557415333
"23","KV053118D0KOS_T3","Spleen",0,"KO",0,108.676894051766,550.903688904534,15335.2485537343,778.9332598722,15335.2485537343,1,1,3.58894911338459,107.968901256641,0.70799279512552,547.314739791149,0.958762886597938,0.993485342019544,547.314739791149,0.00651465798045603,5.52372765408279e-05
