"","X","Unnamed..0","Print_Alone","PrintNumber","FileNumber","FileID","BatchFile","Initials","expDate","Organ","CageNumber","Tag","TagNumber","DOB","Sex","Age","Genotype","MouseWeight","OrganWeight","TotalLiveCountInMillions","All_Event","AllCells_events","LiveCells_events","Singlets1_events","Singlets2_events","pCD4_events","pCD8_events","pDP_events","pDN_events","CD4_events","CD8_events","Bcells_events","TCRb_events","x4Tregs_events","x8Tregs_events","DN_events","DP_events","CD4prol_events","CD8Prol_events","BcellProl_events","x4tregProl_events","x8tregsProl","DPprol_events","DNProl_events","intage","Bratio","CD4Ratio","CD8Ratio","DPRatio","DNRatio","X4TregRatio","X8TregRatio","TCRbRatio","CD4ProlRatio","CD8ProlRatio","BProlRatio","X4TregProlRatio","X8TregProlRatio","Bct","CD4CT","CD8ct","DPct","DNct","X4TregCT","X8TregCT","TCRbCT","CD4ProlCT","CD8ProlCT","BprolCT","X4TregProlCT","X8TregProlCT","ThymicDerivedTregsCT","NaiveDerivedTregsCT","NoTregCD4CT","ActivatedCD4CT","EarlyActivatedCD4CT","NaiveCT","hours","ActivatedProlRatio","NonProlActivatedRatio","NaiveProlCT","ThymicNaive","ActivatedProlCT","NonProlActivatedCT","ActivatedNaiveCT"
"1",5,6,NA,31,11,"JA102517D12WTS","31_11_JA102517D12WTS.fcs compensated","JA","10/25/2017","Spleen",7699,0,3,"10/13/2017","",12,"WT",10.2,NA,15.6,100000,70836,67216,64684,62524,2913,1454,35,56587,2454,1352,19291,5232,172,1,62,8,673,442,10762,129,0,1,22,12,0.308537521591709,0.0465901093979912,0.0232550700530996,0.0005597850425436,0.0009916192182202,0.0700896495517522,0.0007396449704142,0.0836798669310985,0.274246128769356,0.326923076923077,0.557876730081385,0.75,0,4.81318533683066,0.726805706608662,0.362779092828354,0.0087326466636811,0.0154692598042352,50941.5572684148,0.0002683277313819,1.30540592412514,199323.651404902,0.118600857270808,2.68516409698676,38206.1679513111,0,794.9437179261,11940.4455991776,0.675864149340248,54863.2723226946,0.00235912070987587,621000.877017553,288,0.11501303997148,0.88498696002852,170307.086484439,450693.790533114,15046.040046118,48553.2805900784,54863.2723226946
"2",7,8,NA,37,19,"JA103117D14WTS","37_19_JA103117D14WTS.fcs compensated","JA","10/31/2017","Spleen",7812,1,9172,"10/17/2017","F",14,"WT",10.2,0.083,30,50000,40722,39964,39323,37760,4163,643,10,31551,1639,631,18738,3405,261,35,960,2,557,262,14732,177,35,1,190,14,0.496239406779661,0.110248940677966,0.0170286016949153,0.0002648305084745,0.0254237288135593,0.159243441122636,0.0554675118858954,0.0901747881355932,0.339841366687004,0.415213946117274,0.786209840964884,0.67816091954023,1,14.8871822033898,3.30746822033898,0.510858050847458,0.0079449152542372,0.76271186440678,526692.62081054,0.0283360250073867,2.7052436440678,1124014.52027383,0.212115387198152,11.7044491525424,357182.352043929,0.0283360250073867,31548.2938953026,137961.974871308,2.78077559952844,394777.442613054,0.0240024685108737,2385998.15691539,336,0.103647961286488,0.896352038713512,810860.874558797,1575137.28235659,134161.705634821,353859.565524318,394777.442613054
"3",9,10,NA,47,23,"JA111417D18WTS","47_23_JA111417D18WTS.fcs compensated","JA","11/14/2017","Spleen",1217,1,9206,"10/27/2017","",18,"WT",10.9,NA,51.245,114356,91493,89887,89613,88453,11146,3790,198,70868,9240,3640,55324,15557,946,21,381,48,2109,1023,37869,536,17,22,87,18,0.625462109821035,0.126010423614801,0.0428476139870892,0.0022384769312516,0.0043073722768023,0.102380952380952,0.0057692307692307,0.175878715249907,0.228246753246753,0.281043956043956,0.684494975056034,0.566596194503171,0.80952380952381,32.0518058177789,6.45740415814048,2.19572597876839,0.11471075034199,0.220731292324737,661115.187619145,0.0126676498775099,9.01290476298147,1473881.53349765,0.617095515461555,21.9393000237414,374585.349433257,0.0102547641865556,25341.5393541828,261188.298831704,5.79628897052134,962860.20281977,0.0371022131486551,4833428.76770157,432,0.018002560274746,0.981997439725254,1103214.42327734,3730214.34442423,219769.715124123,945526.253982353,962860.20281977
"4",13,14,NA,15,38,"GM030918D7WTS","15_38_GM030918D7WTS.fcs compensated","GM","3/9/2018","Spleen",8813,0,6,"3/2/2018","",7,"WT",3.3,0.019,7.5,717831,483022,469448,456828,433418,23366,8910,1177,394730,22219,8303,144428,34225,1188,43,169,184,3538,2038,41690,495,10,60,44,7,0.333230276545967,0.0539110050805458,0.0205575218380409,0.0027156232551486,0.0003899238148853,0.0534677528241595,0.0051788510177044,0.0789653406180639,0.159233088797876,0.245453450560039,0.28865593929155,0.416666666666667,0.232558139534884,2.49922707409475,0.404332538104094,0.154181413785307,0.0203671744136146,0.0029244286116404,21618.7522061147,0.0007984825716931,0.592240054635479,64383.1189437996,0.0378443600258286,0.721416738575694,9007.8134192144,0.0001856936213239,800.0706893575,11810.8680975427,0.382713785897979,26139.351576832,0.000925333045819852,356574.434321147,168,0,1,56778.4485633116,299795.985757835,4162.24969075258,26139.351576832,26139.351576832
"5",16,17,NA,55,44,"GM031318D19WTS","55_44_GM031318D19WTS.fcs compensated","GM","3/13/2018","Spleen",8368,1,9887,"2/22/2018","M",18,"WT",10.9,0.07,12.975,469732,381972,371257,369662,366826,23315,10036,578,331717,22298,9758,243157,34311,2512,24,308,250,4368,2093,117454,956,1,137,162,18,0.662867408526113,0.0635587444728563,0.0273590203529739,0.0015756789322458,0.0008396351403662,0.112655843573415,0.0024595203935232,0.0935348094191797,0.195892008251861,0.214490674318508,0.483037708147411,0.380573248407643,0.0416666666666667,8.60070462562632,0.824674709535311,0.354983289079836,0.0204444341458893,0.0108942659462524,92904.4250763612,0.0008730886388518,1.21361415221386,161547.185005392,0.0761406050465359,4.15446465081537,35356.9388427553,3.63786932854925e-05,1964.3970476345,55583.0891859714,0.73177028445895,121559.240420039,0.00468408273085218,610211.044038911,432,0,1,119535.466874247,490675.577164664,23812.4837274523,121559.240420039,121559.240420039
"6",20,21,NA,33,52,"GM032118D12WTS_1","33_52_GM032118D12WTS_1.fcs compensated","GM","3/21/2018","Spleen",7998,0,8,"3/9/2018","F",12,"WT",9.8,0.07,15.8,677827,456513,444985,434469,416684,24233,10334,459,377842,22109,10020,275106,36237,2198,87,344,120,5222,3100,150942,1057,69,62,157,12,0.660226934559522,0.0581567806779238,0.0248005682963589,0.0011015541753463,0.0008255656564686,0.0994165272061152,0.0086826347305389,0.0869651822484185,0.236193405400516,0.30938123752495,0.548668513227629,0.480891719745223,0.793103448275862,10.4315855660405,0.918877134711196,0.39184897908247,0.0174045559704716,0.0130439373722053,91351.5736620928,0.0034022815549076,1.37404987952501,217032.719592106,0.121230722071423,5.72348254312621,43930.2153597962,0.0026983612332026,3260.8435742899,44160.5147280066,0.827525561049103,67174.3874181609,0.00288849865898092,760351.173630942,288,0,1,179589.933000171,580761.240630771,15866.147319989,67174.3874181609,67174.3874181609
"7",22,23,NA,39,56,"GM032118D14WTS_3","39_56_GM032118D14WTS_3.fcs compensated","GM","3/21/2018","Spleen",8368,1,9918,"3/7/2018","F",14,"WT",8.7,0.06,11.55,894745,536986,521997,509863,487160,23444,10704,454,449523,22282,10257,294595,40835,2816,30,384,157,5559,3166,169129,1302,17,75,167,14,0.604719188767551,0.0481238196896297,0.0219722473109451,0.0009319320141226,0.000788242055998,0.126380037698591,0.0029248318221702,0.0838225634288529,0.249483888340364,0.308667251633031,0.574106824623636,0.462357954545455,0.566666666666667,6.98450663026521,0.555830117415223,0.253779456441416,0.0107638147631168,0.0091041957467772,70245.831192948,0.0007422622300129,0.968150607603252,138670.658949431,0.0783334073406963,4.00985292306429,32478.7188257167,0.0004206152636739,2195.8842338057,35571.2281334255,0.485584286222275,68936.782500689,0.00419135637604189,416647.503721586,336,0,1,103946.839295768,312700.664425818,17198.6165479458,68936.782500689,68936.782500689
"8",24,25,NA,41,60,"GM032118D14WTS_5","41_60_GM032118D14WTS_5.fcs compensated","GM","3/21/2018","Spleen",8368,1,9920,"3/7/2018","F",14,"WT",8.8,0.063,9.85,664466,439940,432762,421411,402083,19178,10478,4359,363791,18469,9813,227203,33353,1794,55,530,168,3883,2747,124917,843,39,106,216,14,0.565064924406155,0.0476966198521201,0.0260592962149606,0.0108410452568251,0.0013181358077809,0.0971357409713574,0.00560480994599,0.0829505350885265,0.210244192972007,0.279934780393356,0.549803479707574,0.469899665551839,0.709090909090909,5.56588950540063,0.469811705543383,0.256684067717362,0.106784295779727,0.0129836377066427,45635.5081349737,0.0014386654157194,0.817062770621986,98775.1828807708,0.0718547981269329,3.06014541773713,21444.1100099124,0.0010201445675101,1277.9462511251,22913.4518739362,0.424176197408409,60218.8808254138,0.00366130795418516,363957.316582995,336,0,1,76519.9123012491,287437.404281746,12660.6700008166,60218.8808254138,60218.8808254138
"9",26,27,NA,43,64,"JA032218D14WTS_1","43_64_JA032218D14WTS_1.fcs compensated","JA","3/22/2018","Spleen",8196,1,9912,"3/8/2018","M",14,"WT",12.1,0.08,49.8,501010,373582,363740,348453,336773,18492,9890,340,299316,16732,9536,157180,36399,1576,29,547,99,4298,2791,116495,960,22,66,317,14,0.466723876320251,0.0549093900045431,0.0293669623158626,0.0010095821220822,0.0016242394728793,0.0941907721730815,0.0030411073825503,0.108081704887268,0.256873057614153,0.292680369127517,0.741156635704288,0.609137055837564,0.758620689655172,23.2428490407485,2.73448762222625,1.46247472332996,0.0502771896796952,0.080887125749392,257563.500635224,0.0044475426779119,5.38246890338596,702416.19652931,0.428037641863875,17.2265917992238,156891.472468157,0.0033739978935884,4970.2658947294,95701.7622723377,2.47692412159102,351640.661128538,0.0213797521966151,2125283.46046248,336,0,1,545928.060785786,1579355.3996767,90327.0118055499,351640.661128538,351640.661128538
"10",28,29,NA,45,68,"JA032218D14WTS_3","45_68_JA032218D14WTS_3.fcs compensated","JA","3/22/2018","Spleen",8196,1,9910,"3/8/2018","M",14,"WT",11.4,0.089,45.2,565865,426729,419785,401454,389847,18510,9943,574,353078,17092,9509,194583,35661,1504,25,560,95,3605,2161,140951,852,22,50,245,14,0.499126580427706,0.047480165295616,0.0255048775545278,0.0014723724948505,0.0014364609705859,0.0879943833372338,0.002629088232201,0.0914743476286851,0.210917388251814,0.227258386791461,0.724374688436297,0.566489361702128,0.88,22.5605214353323,2.14610347136184,1.15282046546466,0.0665512367672446,0.0649280358704825,188845.051540382,0.0030308667195936,4.13464051281657,452650.539097791,0.261988119241679,16.3422706856793,106978.712707716,0.0026671627132424,5729.3784413063,76136.9603913593,1.95725841982146,277865.45366732,0.0168942195829731,1679392.96615414,336,0,1,354213.178269698,1325179.78788444,58606.6557729166,277865.45366732,277865.45366732
